9.78@17.1@5.3@19.12345
43.53   @21.73 @ 79.49
35.96   @46.01 @ 76.6 @63.8
38.93   @69.79 @ 41.35 @67.8
37.93   @53.93 @ 89.72 @41.99 @30.37 @95.57 @68.83 @38.43 @59.2
59.02   @73.4 @ 88.76 @53.33 @68.47 @2.36 @56.1 @ 66.16 @11.24 @50.44
116.26   @30.86 @ 92.57 @98.37

69.52   @90.25 @ 92.02 @7.49
33.09   @36.98 @ 75.09 @71.67 @51.65 @88.1
519.77   @21.5 @ 48.1 @13.42 @89.64
53.7   @29.11 @ 23.53 @44.4 @10.62 @41.96 @22.47
77.21   @14.14 @ 87.14 @0.94 @23.66 @33.43
51.27   @87.89 @ 6.28 @40.2 @99.31 @26.82 @35.18
85.41   @9.7 @ 68.56
68.81
77.54   @85.25 @ 173.3 @49.88 @94.7
50.41   @62.43 @ 35.16 @47.59 @97.9 @37.06 @55.15 @71.64
74.48   @51.08 @ 74.56
23.78   @18.23 @ 74.87 @47.94 @88.9 @65.67 @59.84
29.82   @84.65 @ 0.81 @93.82 @85.54
17.11   @65.59 @ 16.01 @63.92 @66.23 @61.87 @89.45
7.63   @37.12 @ 86.23 @64.17

34.21
14.27   @40.14 @ 51.84 @87.86 @99.96 @15.99
36.31   @86.91 @ 60.18
60.18   @76.26 @ 21.35 @74.81 @88.63
42.99   @57.24 @ 24.93 @22.01
23.62   @25.65 @ 34.9@9.15 @27.24
94.24
95.73
62.47   @48.48 @ 0.82 @9.01 @92.48 @84.89
56.62   @59.73 @ 79.94
80.21   @6.45 @ 54.17 @41.5 @57.43
45.31   @21.53 @ 78.67 @81.13
80.08
31.02   @55.64 @ 97.16@26.45 @11.54 @55 @43.24 @ 4.16 @93.58 @51.57 @89.53 @28.79
16.11   @54.15 @ 62.81
5.02   @29.39 @ 84.61@87.35 @60.46
53.82   @83.22 @ 74.45
13.72
25.13   @55.67 @ 64.33 @28.48 @98.62 @10.16
77.6   @78.39 @ 17.19 @4.09
10.54   @5.78 @ 84.48 @73.47 @27.23
66.56   @79.59 @ 66.07
17.38   @69.5 @ 79.21 @81.69
31.02   @55.64 @ 97.16@26.45 @11.54 @55 @43.24 @ 4.16 @93.58 @51.57 @89.53 @28.79
16.11   @54.15 @ 62.81
5.02   @29.39 @ 84.61@87.35 @60.46
53.82   @83.22 @ 74.45
13.72
25.13   @55.67 @ 64.33 @28.48 @98.62 @10.16
77.6   @78.39 @ 17.19 @4.09
10.54   @5.78 @ 84.48 @73.47 @27.23
66.56   @79.59 @ 66.07
17.38   @69.5 @ 79.21 @81.69
