學號,國文,數學,物理
CBF104034,20,40,30
CBF105004,70,60,60
CBF106034,80,90,70
CBF107001,20,90,40
CBF107003,80,80,80
CBF107004,50,80,40
CBF107006,70,60,60
CBF107007,80,10,10
CBF107008,50,40,40
CBF107009,20,60,90
CBF107010,50,80,90
CBF107012,20,50,10
CBF107014,30,70,90
CBF107015,50,20,90
CBF107016,90,10,20
CBF107017,30,50,10
CBF107018,60,10,90
CBF107019,90,10,80
CBF107020,90,60,50
CBF107022,10,20,70
CBF107023,70,30,60
CBF107024,40,40,60
CBF107025,40,40,70
CBF107027,40,10,60
CBF107028,70,20,90
CBF107029,30,50,50
CBF107032,80,60,20
CBF107033,30,50,60
CBF107035,20,60,50
CBF107037,50,50,10
CBF107038,70,20,90
CBF107039,80,50,20
CBF107040,90,40,80
CBF107041,70,80,50
CBF107043,20,30,10
CBF107044,60,80,10
CBF107045,20,50,20
CBF107046,10,80,20
