One,Two
"['31,35,39,40,45,49,41', '01,05,25,29,33,38,19', '03,07,10,13,39,46,29']","27,32,33,40,43,44,37"
"['01,05,25,29,33,38,19', '03,07,10,13,39,46,29', '27,32,33,40,43,44,37']","06,11,31,40,42,45,43"
"['03,07,10,13,39,46,29', '27,32,33,40,43,44,37', '06,11,31,40,42,45,43']","01,05,08,11,35,36,26"
"['27,32,33,40,43,44,37', '06,11,31,40,42,45,43', '01,05,08,11,35,36,26']","08,09,10,24,27,31,33"
"['06,11,31,40,42,45,43', '01,05,08,11,35,36,26', '08,09,10,24,27,31,33']","17,19,24,36,43,49,26"
"['01,05,08,11,35,36,26', '08,09,10,24,27,31,33', '17,19,24,36,43,49,26']","05,18,25,34,48,49,45"
"['08,09,10,24,27,31,33', '17,19,24,36,43,49,26', '05,18,25,34,48,49,45']","16,29,36,39,43,48,42"
"['17,19,24,36,43,49,26', '05,18,25,34,48,49,45', '16,29,36,39,43,48,42']","07,10,14,15,17,39,45"
"['05,18,25,34,48,49,45', '16,29,36,39,43,48,42', '07,10,14,15,17,39,45']","01,02,29,33,45,47,39"
"['16,29,36,39,43,48,42', '07,10,14,15,17,39,45', '01,02,29,33,45,47,39']","01,21,31,33,42,44,22"
"['07,10,14,15,17,39,45', '01,02,29,33,45,47,39', '01,21,31,33,42,44,22']","17,19,21,26,33,45,12"
"['01,02,29,33,45,47,39', '01,21,31,33,42,44,22', '17,19,21,26,33,45,12']","13,33,41,47,48,49,01"
"['01,21,31,33,42,44,22', '17,19,21,26,33,45,12', '13,33,41,47,48,49,01']","04,07,12,18,27,44,23"
"['17,19,21,26,33,45,12', '13,33,41,47,48,49,01', '04,07,12,18,27,44,23']","02,17,32,43,45,47,34"
"['13,33,41,47,48,49,01', '04,07,12,18,27,44,23', '02,17,32,43,45,47,34']","06,21,26,34,36,49,23"
"['04,07,12,18,27,44,23', '02,17,32,43,45,47,34', '06,21,26,34,36,49,23']","02,08,10,16,23,49,41"
"['02,17,32,43,45,47,34', '06,21,26,34,36,49,23', '02,08,10,16,23,49,41']","10,12,16,29,41,45,01"
"['06,21,26,34,36,49,23', '02,08,10,16,23,49,41', '10,12,16,29,41,45,01']","01,08,13,43,46,48,29"
"['02,08,10,16,23,49,41', '10,12,16,29,41,45,01', '01,08,13,43,46,48,29']","10,17,28,29,43,47,04"
"['10,12,16,29,41,45,01', '01,08,13,43,46,48,29', '10,17,28,29,43,47,04']","14,22,32,33,34,49,31"
"['01,08,13,43,46,48,29', '10,17,28,29,43,47,04', '14,22,32,33,34,49,31']","01,04,12,25,34,37,42"
"['10,17,28,29,43,47,04', '14,22,32,33,34,49,31', '01,04,12,25,34,37,42']","08,12,13,15,16,30,45"
"['14,22,32,33,34,49,31', '01,04,12,25,34,37,42', '08,12,13,15,16,30,45']","08,10,11,17,28,42,40"
"['01,04,12,25,34,37,42', '08,12,13,15,16,30,45', '08,10,11,17,28,42,40']","02,09,18,27,46,48,25"
"['08,12,13,15,16,30,45', '08,10,11,17,28,42,40', '02,09,18,27,46,48,25']","01,02,08,44,47,48,09"
"['08,10,11,17,28,42,40', '02,09,18,27,46,48,25', '01,02,08,44,47,48,09']","13,15,27,34,35,39,31"
"['02,09,18,27,46,48,25', '01,02,08,44,47,48,09', '13,15,27,34,35,39,31']","04,13,31,35,37,42,49"
"['01,02,08,44,47,48,09', '13,15,27,34,35,39,31', '04,13,31,35,37,42,49']","07,13,23,33,35,36,09"
"['13,15,27,34,35,39,31', '04,13,31,35,37,42,49', '07,13,23,33,35,36,09']","09,22,23,37,43,46,38"
"['04,13,31,35,37,42,49', '07,13,23,33,35,36,09', '09,22,23,37,43,46,38']","05,15,19,22,30,42,31"
"['07,13,23,33,35,36,09', '09,22,23,37,43,46,38', '05,15,19,22,30,42,31']","03,23,27,28,37,48,08"
"['09,22,23,37,43,46,38', '05,15,19,22,30,42,31', '03,23,27,28,37,48,08']","03,16,17,30,33,37,29"
"['05,15,19,22,30,42,31', '03,23,27,28,37,48,08', '03,16,17,30,33,37,29']","02,10,12,20,26,34,28"
"['03,23,27,28,37,48,08', '03,16,17,30,33,37,29', '02,10,12,20,26,34,28']","14,16,19,28,32,49,01"
"['03,16,17,30,33,37,29', '02,10,12,20,26,34,28', '14,16,19,28,32,49,01']","06,24,35,41,46,49,09"
"['02,10,12,20,26,34,28', '14,16,19,28,32,49,01', '06,24,35,41,46,49,09']","01,04,09,14,15,49,32"
"['14,16,19,28,32,49,01', '06,24,35,41,46,49,09', '01,04,09,14,15,49,32']","02,03,13,20,28,38,40"
"['06,24,35,41,46,49,09', '01,04,09,14,15,49,32', '02,03,13,20,28,38,40']","09,12,23,33,39,45,24"
"['01,04,09,14,15,49,32', '02,03,13,20,28,38,40', '09,12,23,33,39,45,24']","03,28,29,35,41,47,48"
"['02,03,13,20,28,38,40', '09,12,23,33,39,45,24', '03,28,29,35,41,47,48']","05,13,16,31,41,45,09"
"['09,12,23,33,39,45,24', '03,28,29,35,41,47,48', '05,13,16,31,41,45,09']","07,13,18,21,38,44,03"
"['03,28,29,35,41,47,48', '05,13,16,31,41,45,09', '07,13,18,21,38,44,03']","13,18,23,30,44,48,37"
"['05,13,16,31,41,45,09', '07,13,18,21,38,44,03', '13,18,23,30,44,48,37']","17,22,30,38,44,48,36"
"['07,13,18,21,38,44,03', '13,18,23,30,44,48,37', '17,22,30,38,44,48,36']","07,09,20,42,44,45,08"
"['13,18,23,30,44,48,37', '17,22,30,38,44,48,36', '07,09,20,42,44,45,08']","07,20,34,37,38,47,18"
"['17,22,30,38,44,48,36', '07,09,20,42,44,45,08', '07,20,34,37,38,47,18']","04,07,12,17,33,38,11"
"['07,09,20,42,44,45,08', '07,20,34,37,38,47,18', '04,07,12,17,33,38,11']","01,05,08,15,16,38,07"
"['07,20,34,37,38,47,18', '04,07,12,17,33,38,11', '01,05,08,15,16,38,07']","16,18,19,29,30,47,10"
"['04,07,12,17,33,38,11', '01,05,08,15,16,38,07', '16,18,19,29,30,47,10']","10,14,26,38,39,47,08"
"['01,05,08,15,16,38,07', '16,18,19,29,30,47,10', '10,14,26,38,39,47,08']","17,18,25,32,43,45,05"
"['16,18,19,29,30,47,10', '10,14,26,38,39,47,08', '17,18,25,32,43,45,05']","09,18,31,45,48,49,22"
"['10,14,26,38,39,47,08', '17,18,25,32,43,45,05', '09,18,31,45,48,49,22']","16,21,22,28,32,46,24"
"['17,18,25,32,43,45,05', '09,18,31,45,48,49,22', '16,21,22,28,32,46,24']","09,21,27,31,38,49,03"
"['09,18,31,45,48,49,22', '16,21,22,28,32,46,24', '09,21,27,31,38,49,03']","07,12,26,31,37,49,17"
"['16,21,22,28,32,46,24', '09,21,27,31,38,49,03', '07,12,26,31,37,49,17']","03,08,18,19,41,48,36"
"['09,21,27,31,38,49,03', '07,12,26,31,37,49,17', '03,08,18,19,41,48,36']","16,18,22,23,24,41,39"
"['07,12,26,31,37,49,17', '03,08,18,19,41,48,36', '16,18,22,23,24,41,39']","05,09,11,15,36,45,27"
"['03,08,18,19,41,48,36', '16,18,22,23,24,41,39', '05,09,11,15,36,45,27']","10,21,24,30,35,45,22"
"['16,18,22,23,24,41,39', '05,09,11,15,36,45,27', '10,21,24,30,35,45,22']","08,10,15,19,36,45,37"
"['05,09,11,15,36,45,27', '10,21,24,30,35,45,22', '08,10,15,19,36,45,37']","03,18,23,24,26,49,32"
"['10,21,24,30,35,45,22', '08,10,15,19,36,45,37', '03,18,23,24,26,49,32']","05,15,30,35,38,47,18"
"['08,10,15,19,36,45,37', '03,18,23,24,26,49,32', '05,15,30,35,38,47,18']","03,06,11,16,26,44,31"
"['03,18,23,24,26,49,32', '05,15,30,35,38,47,18', '03,06,11,16,26,44,31']","01,19,25,27,31,40,12"
"['05,15,30,35,38,47,18', '03,06,11,16,26,44,31', '01,19,25,27,31,40,12']","01,03,09,26,40,47,15"
"['03,06,11,16,26,44,31', '01,19,25,27,31,40,12', '01,03,09,26,40,47,15']","09,13,22,37,40,42,26"
"['01,19,25,27,31,40,12', '01,03,09,26,40,47,15', '09,13,22,37,40,42,26']","12,15,23,33,41,42,11"
"['01,03,09,26,40,47,15', '09,13,22,37,40,42,26', '12,15,23,33,41,42,11']","03,10,12,22,36,41,18"
"['09,13,22,37,40,42,26', '12,15,23,33,41,42,11', '03,10,12,22,36,41,18']","03,08,14,16,26,36,41"
"['12,15,23,33,41,42,11', '03,10,12,22,36,41,18', '03,08,14,16,26,36,41']","06,17,22,23,32,42,13"
"['03,10,12,22,36,41,18', '03,08,14,16,26,36,41', '06,17,22,23,32,42,13']","03,23,32,36,39,40,49"
"['03,08,14,16,26,36,41', '06,17,22,23,32,42,13', '03,23,32,36,39,40,49']","13,21,28,35,37,38,33"
"['06,17,22,23,32,42,13', '03,23,32,36,39,40,49', '13,21,28,35,37,38,33']","07,12,17,21,30,37,49"
"['03,23,32,36,39,40,49', '13,21,28,35,37,38,33', '07,12,17,21,30,37,49']","07,13,18,21,26,34,08"
"['13,21,28,35,37,38,33', '07,12,17,21,30,37,49', '07,13,18,21,26,34,08']","10,21,23,33,42,48,41"
"['07,12,17,21,30,37,49', '07,13,18,21,26,34,08', '10,21,23,33,42,48,41']","02,09,12,15,20,49,40"
"['07,13,18,21,26,34,08', '10,21,23,33,42,48,41', '02,09,12,15,20,49,40']","10,21,25,26,35,37,04"
"['10,21,23,33,42,48,41', '02,09,12,15,20,49,40', '10,21,25,26,35,37,04']","02,16,18,20,22,39,21"
"['02,09,12,15,20,49,40', '10,21,25,26,35,37,04', '02,16,18,20,22,39,21']","08,17,23,24,31,34,25"
"['10,21,25,26,35,37,04', '02,16,18,20,22,39,21', '08,17,23,24,31,34,25']","12,18,29,40,41,48,24"
"['02,16,18,20,22,39,21', '08,17,23,24,31,34,25', '12,18,29,40,41,48,24']","02,07,15,27,37,39,43"
"['08,17,23,24,31,34,25', '12,18,29,40,41,48,24', '02,07,15,27,37,39,43']","03,12,17,20,29,38,47"
"['12,18,29,40,41,48,24', '02,07,15,27,37,39,43', '03,12,17,20,29,38,47']","02,14,19,20,26,43,23"
"['02,07,15,27,37,39,43', '03,12,17,20,29,38,47', '02,14,19,20,26,43,23']","11,13,25,32,33,48,31"
"['03,12,17,20,29,38,47', '02,14,19,20,26,43,23', '11,13,25,32,33,48,31']","06,26,35,42,44,48,07"
"['02,14,19,20,26,43,23', '11,13,25,32,33,48,31', '06,26,35,42,44,48,07']","01,04,08,10,45,47,41"
"['11,13,25,32,33,48,31', '06,26,35,42,44,48,07', '01,04,08,10,45,47,41']","05,17,19,21,42,43,16"
"['06,26,35,42,44,48,07', '01,04,08,10,45,47,41', '05,17,19,21,42,43,16']","01,16,19,27,35,42,41"
"['01,04,08,10,45,47,41', '05,17,19,21,42,43,16', '01,16,19,27,35,42,41']","07,08,31,33,41,45,39"
"['05,17,19,21,42,43,16', '01,16,19,27,35,42,41', '07,08,31,33,41,45,39']","05,21,25,32,36,41,33"
"['01,16,19,27,35,42,41', '07,08,31,33,41,45,39', '05,21,25,32,36,41,33']","04,13,18,26,41,48,33"
"['07,08,31,33,41,45,39', '05,21,25,32,36,41,33', '04,13,18,26,41,48,33']","01,10,20,37,38,49,31"
"['05,21,25,32,36,41,33', '04,13,18,26,41,48,33', '01,10,20,37,38,49,31']","05,34,42,46,48,49,14"
"['04,13,18,26,41,48,33', '01,10,20,37,38,49,31', '05,34,42,46,48,49,14']","04,12,21,24,33,35,42"
