according,中級,[動詞] accord((與...)一致;調解) 的現在分詞,（正式的）協議；條約；一致；符合; 出於自願，主動地,"(a formal) agreement; If you do something of your own accord, you do it without being asked to do it."
delight,中級,"[動詞] 使高興; [名詞] 欣喜,愉快",欣喜；滿足；愜意; …的樂趣,"(something or someone that gives) great pleasure, satisfaction, or happiness; the pleasures of something"
plenty,中級,"[副詞] 足夠,充分地; [名詞] 豐富;充足;大量",豐富，充足，大量,"(the state of having) enough or more than enough, or a large amount"
technology,中級,[名詞] 工藝學;工藝,技術（學）；應用技術；（尤指）工業技術,"(the study and knowledge of) the practical, especially industrial, use of scientific discoveries"
live,中級,"[形容詞] 活的,有生命的;燃著的;實況播送的",生存；活著; 住，居住,(to continue) to be alive or have life; to have your home somewhere
landmark,中級,"[名詞] 地標,陸標;里程碑",地標；標誌性建築; （發展過程中的）里程碑,"a building or place that is easily recognized, especially one that you can use to judge where you are; an important stage in something's development"
agency,中級,[名詞] 仲介;代理,代理機構; 政府專門機構；政府內的局，部，處,a business that represents one group of people when dealing with another group; a government organization
collapsed,中級,[動詞] collapse(倒塌) 的過去式及過去分詞,（肺或血管）萎陷的,A collapsed lung or blood vessel (= tube that carries blood in the body) is not able to work because disease or injury has caused it to become flat.
state,中級,[動詞] (陳述) ,狀態；情形；狀況; 現狀,a condition or way of being that exists at a particular time; the present situation
bin,中級,[名詞] (貯藏箱) ,垃圾箱; 容器；箱子；櫃,a container for waste; a large container used for storing things
declared,中級,"[動詞] declare(宣佈,宣告) 的過去式及過去分詞",公開聲明的,A declared fact is one that someone has publicly said or admitted.
research,中級,"[動詞] 調查,探究; [名詞] (學術)研究;調查,探究",研究；調查；探索; 研究；調查；探索,"a detailed study of a subject, especially in order to discover (new) information or reach a (new) understanding; to study a subject in detail, especially in order to discover new information or reach a new understanding"
meter,中級,[動詞] (用儀錶測量) ,計，儀，表; （計程車的）計費表,a device that measures the amount of something that is used; the device in a taxi that measures the distance or the amount of time spent travelling and shows how much you have to pay
pride,中級,"[動詞] 使得意,以...自豪; [名詞] 自豪,得意",自豪，得意; 為…自豪，為…驕傲,a feeling of pleasure and satisfaction that you get because you or people connected with you have done or got something good; to feel very pleased about something or someone you are closely connected with
goddess,中級,[名詞] 女神,女神,a female god
slice,中級,[動詞] 切成薄片; [名詞] 薄片,（切下的食物）薄片; （錢等的）份額，部分,"a flat, often thin, piece of food that has been cut from a larger piece; a part of something, such as an amount of money"
ingredient,中級,"[名詞] 要素,因素",（食品的）成分，材料; （成功的）要素，因素,a food that is used with other foods in the preparation of a particular dish; one of the parts of something successful
reception,中級,"[名詞] 接待,接見;接待處",歡迎會；招待會; 感受；反應；回應,a formal party at which important people are welcomed; the way in which people react to something or someone
phrase,中級,"[動詞] 用言語表達,用(詞); [名詞] 片語,詞組",片語; 說法；用語；警句,"a group of words that is part of, rather than the whole of, a sentence; a short group of words that are often used together and have a particular meaning"
benefit,中級,[動詞] (對...有益) [名詞] (利益;好處),利益，好處；優勢; （僱主為員工提供的）福利政策（如醫療保險、人壽保險、病假補助方案等）,"a helpful or good effect, or something intended to help; an advantage such as medical insurance, life insurance, and sick pay, that employees receive from their employer in addition to money"
landscape,中級,"[動詞] 在(一片土地)上造園; [名詞] 風景,景色",鄉間，野外；（尤指鄉村的）風景，景色; 鄉村風景；鄉村風景畫；鄉村風景繪畫,"a large area of countryside, especially in relation to its appearance; a view or picture of the countryside, or the art of making such pictures"
estate,中級,[名詞] 地產,（位於鄉村的）大片私有土地，莊園，種植園; （個人死後留下的全部）財?，遺?,a large area of land in the country that is owned by a family or an organization and is often used for growing crops or raising animals; everything that a person owns when they die 
layer,中級,[名詞] 層;階層;地層,層；塗層; （機構）層次,"a level of material, such as a type of rock or gas, that is different from the material above or below it, or a thin sheet of a substance; the group of people at a particular level in an organization"
scheduled,中級,[動詞] schedule(安排;將……列入計畫（或時間）表) 的過去式及過去分詞,計劃表；日程表；進度表; 時刻表,"a list of planned activities or things to be done showing the times or dates when they are intended to happen or be done; a list of the times when events are planned to happen, for example the times when classes happen or when buses, etc. leave and arrive"
ditch,中級,[動詞] 掘溝; [名詞] 溝;壕溝,（尤指路邊或田邊用來供水、排水或劃分土地的）溝渠，壕溝; 拋棄，遺棄，丟棄,"a long, narrow open hole that is dug into the ground, usually at the side of a road or field, used especially for supplying or removing water or for dividing land; to get rid of something or someone that is no longer wanted"
volcano,中級,[名詞] 火山,火山,"a mountain with a large, circular hole at the top through which lava (= hot liquid rock) gases, steam, and dust are or have been forced out"
being,中級,[名詞] 存在;生存;生命;本質,生命，生物; 存在；生存,a person or thing that exists; the state of existing
settler,中級,[名詞] 殖民者;開拓者,（尤指來自別國的）移居者，定居者；殖民者,"a person who arrives, especially from another country, in a new place in order to live there and use the land"
hiker,中級,[名詞] (徒步旅行者) ,（在鄉村的）健行者，遠足者,a person who goes for a long walk in the countryside
paradise,中級,[名詞] 樂園,天堂，樂園; 天堂，天國,a place or condition of great happiness where everything is exactly as you would like it to be; Heaven
garlic,中級,[名詞] 大蒜;蒜頭,大蒜,a plant of the onion family that has a strong taste and smell and is used in cooking to add flavour
guarantee,中級,[動詞] 保證;擔保; [名詞] 保證;保證書,保證；（尤指公司保證對產品保修或包退的）保修單，包換單; 擔保,"a promise that something will be done or will happen, especially a written promise by a company to repair or change a product that develops a fault within a particular period of time; a formal agreement to take responsibility for something, such as the payment of someone else's debt"
grace,中級,[動詞] 使優美; [名詞] 優雅;(票據等到期後的)寬限,優美，優雅，雍容; 文雅；通情達理，體面,"a quality of moving in a smooth, relaxed, and attractive way; the quality of being pleasantly polite, or a willingness to be fair and honest"
blessing,中級,[名詞] (祈神賜福;祝福) 的複數,祈神賜福；祝福; 幸事；喜事,"a request by a priest for God to take care of a particular person or a group of people, or God's act of doing this; something that is extremely lucky or makes you happy"
chamber,中級,"[名詞] 室,房間;議院",（用於特定用途或官方用途的）房間，室，廳；議院; （法官的）議事室,"a room used for a special or official purpose, or a group of people who form (part of) a parliament; a judge's private office. A judge may have legal discussions with lawyers in private in his or her chambers."
tune,中級,[動詞] 為...調音; [名詞] 曲調;歌曲,曲調，曲子；旋律; 合調，入調,"a series of musical notes, especially one that is pleasant and easy to remember; singing or playing notes that are at the right pitch (= level) or that agree with others being sung or played"
